"","feature","start","end","strand","gene"
"1","gene",190,255,"+","thrL"
"2","gene",337,2799,"+","thrA"
"3","gene",2801,3733,"+","thrB"
"4","gene",3734,5020,"+","thrC"
"5","gene",5234,5530,"+","yaaX"
"6","gene",5683,6459,"-","yaaA"
"7","gene",6529,7959,"-","yaaJ"
"8","gene",8238,9191,"+","tal"
"9","gene",9306,9893,"+","mog"
"10","gene",9928,10494,"-","satP"
"11","gene",10643,11356,"-","msyB"
"12","gene",11382,11786,"-","yaaI"
"13","gene",12163,14079,"+","dnaK"
"14","gene",14168,15298,"+","dnaJ"
"15","gene",16751,16903,"-","mokC"
"16","gene",17489,18655,"+","nhaA"
"17","gene",18721,19620,"+","nhaR"
"18","gene",20815,21078,"-","rpsT"
"19","gene",21181,21399,"+","yaaY"
"20","gene",21407,22348,"+","ribF"
"21","gene",22391,25207,"+","ileS"
"22","gene",25207,25701,"+","lspA"
"23","gene",25826,26275,"+","fkpB"
"24","gene",26277,27227,"+","ispH"
"25","gene",27293,28207,"+","rihC"
"26","gene",28374,29195,"+","dapB"
"27","gene",29651,30799,"+","carA"
"28","gene",30817,34038,"+","carB"
"29","gene",34300,34695,"+","caiF"
"30","gene",34781,35371,"-","caiE"
"31","gene",35377,36162,"-","caiD"
"32","gene",36271,37824,"-","caiC"
"33","gene",37898,39115,"-","caiB"
"34","gene",39244,40386,"-","caiA"
"35","gene",40417,41931,"-","caiT"
"36","gene",42403,43173,"+","fixA"
"37","gene",43188,44129,"+","fixB"
"38","gene",44180,45466,"+","fixC"
"39","gene",45463,45750,"+","fixX"
"40","gene",45807,47138,"+","yaaU"
"41","gene",47246,47776,"+","kefF"
"42","gene",47769,49631,"+","kefC"
"43","gene",49823,50302,"+","folA"
"44","gene",50380,51222,"-","apaH"
"45","gene",51229,51606,"-","apaG"
"46","gene",51609,52430,"-","rsmA"
"47","gene",52427,53416,"-","pdxA"
"48","gene",53416,54702,"-","surA"
"49","gene",54755,57109,"-","lptD"
"50","gene",57364,58179,"+","djlA"
"51","gene",59687,60346,"-","rluA"
"52","gene",60358,63264,"-","rapA"
"53","gene",63429,65780,"-","polB"
"54","gene",65855,66550,"-","araD"
"55","gene",66835,68337,"-","araA"
"56","gene",68348,70048,"-","araB"
"57","gene",70387,71265,"+","araC"
"58","gene",71351,72115,"+","yabI"
"59","gene",72229,72927,"-","thiQ"
"60","gene",72911,74521,"-","thiP"
"61","gene",74497,75480,"-","thiB"
"62","gene",75644,77299,"-","sgrR"
"63","gene",77388,77519,"+","sgrT"
"64","gene",77621,78799,"+","setA"
"65","gene",78848,79453,"-","leuD"
"66","gene",79464,80864,"-","leuC"
"67","gene",80867,81958,"-","leuB"
"68","gene",81958,83529,"-","leuA"
